1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
1000, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 38.9 in., 54.0 in., 42.3 in., 58.1 in., 54.6 in., 38.2 in., 34.3 in., 57.5 in.,6 ft. 1.9 in. (73.9 in.),5 ft. 7.7 in. (67.7 in.),15 ft. 11.5 in. (191.5 in.),,,,,,,, 3500 lbs.,,,,,,, 3.6 L, Double overhead cam (DOHC), Flat 6,24, Variable, 247 ft-lbs. @ 4400 rpm, 256 hp @ 6000 rpm, 37.4 ft., Gas, Regular unleaded, 16.9 gal., 270.4/354.9 mi., 16/21 mpg, All wheel drive, 5-speed shiftable automatic
1001, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),,,,, 108.6 cu.ft.,,,,,,,,,, 2.5 L, Double overhead cam (DOHC), Flat 4,16, Variable, 290 ft-lbs. @ 4000 rpm, 305 hp @ 6000 rpm, 36.0 ft., Gas, Premium unleaded (required), 15.9 gal., 270.3/365.7 mi., 17/23 mpg, All wheel drive, 6-speed manual
1002, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),,,,, 108.6 cu.ft., 3386 lbs., 12.0 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Flat 4,16, Variable, 290 ft-lbs. @ 4000 rpm, 305 hp @ 6000 rpm, 36.0 ft., Gas, Premium unleaded (required), 15.9 gal., 270.3/365.7 mi., 17/23 mpg, All wheel drive, 6-speed manual
1003, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),,,,, 108.6 cu.ft.,,,,,,,,,, 2.5 L, Double overhead cam (DOHC), Flat 4,16, Variable, 290 ft-lbs. @ 4000 rpm, 305 hp @ 6000 rpm, 36.0 ft., Gas, Premium unleaded (required), 15.9 gal., 270.3/365.7 mi., 17/23 mpg, All wheel drive, 6-speed manual
1004, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 37.2 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),,,,, 105.1 cu.ft.,,,,,,,,,, 2.5 L, Double overhead cam (DOHC), Flat 4,16, Variable, 290 ft-lbs. @ 4000 rpm, 305 hp @ 6000 rpm, 36.0 ft., Gas, Premium unleaded (required), 15.9 gal., 270.3/365.7 mi., 17/23 mpg, All wheel drive, 6-speed manual
1005, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 37.2 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),,,,, 105.1 cu.ft., 3439 lbs., 12.0 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Flat 4,16, Variable, 290 ft-lbs. @ 4000 rpm, 305 hp @ 6000 rpm, 36.0 ft., Gas, Premium unleaded (required), 15.9 gal., 270.3/365.7 mi., 17/23 mpg, All wheel drive, 6-speed manual
1006, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),,,,, 108.6 cu.ft., 3386 lbs., 12.0 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Flat 4,16, Variable, 290 ft-lbs. @ 4000 rpm, 305 hp @ 6000 rpm, 36.0 ft., Gas, Premium unleaded (required), 15.9 gal., 270.3/365.7 mi., 17/23 mpg, All wheel drive, 6-speed manual
1007, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),,5 ft. 0.2 in. (60.2 in.),5 ft. 0.6 in. (60.6 in.),, 108.6 cu.ft., 3267 lbs., 12.0 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Flat 4,16, Variable, 258 ft-lbs. @ 2000 rpm, 268 hp @ 5600 rpm, 35.4 ft., Gas, Premium unleaded (recommended), 15.9 gal., 333.9/445.2 mi., 21/28 mpg, All wheel drive, 6-speed manual
1008, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.1 in., 43.3 in., 55.6 in., 53.1 in., 37.1 in., 35.4 in., 54.2 in.,5 ft. 10.7 in. (70.7 in.),4 ft. 10.1 in. (58.1 in.),15 ft. 0.9 in. (180.9 in.),8 ft. 8.3 in. (104.3 in.),,,, 108.6 cu.ft., 3269 lbs., 12.0 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Flat 4,16, Variable, 258 ft-lbs. @ 2000 rpm, 268 hp @ 5600 rpm, 35.4 ft., Gas, Premium unleaded (recommended), 15.9 gal., 318.0/429.3 mi., 20/27 mpg, All wheel drive, 6-speed manual
1009, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.2 in., 43.5 in., 55.6 in., 53.1 in., 37.7 in., 35.4 in., 54.2 in.,5 ft. 10.1 in. (70.1 in.),5 ft. 3.6 in. (63.6 in.),14 ft. 7.2 in. (175.2 in.),,,,, 119.0 cu.ft., 3451 lbs.,,, 18.0 degrees, 27.7 degrees, 50.2 cu.ft.,,,, 2.0 L, Double overhead cam (DOHC), Flat 4,16, Variable, 163 ft-lbs. @ 2000 rpm, 160 hp @ 6000 rpm, 34.8 ft., Hybrid, Regular unleaded, 13.7 gal., 411.0/465.8 mi., 30/34 mpg, All wheel drive, Continuously variable-speed automatic
1010, 3 yr./ 36000 mi., 5 yr./ 60000 mi., 3 yr./ 36000 mi.,,,,, 39.8 in., 52.2 in., 43.5 in., 55.6 in., 53.1 in., 37.7 in., 35.4 in., 54.2 in.,5 ft. 10.1 in. (70.1 in.),5 ft. 3.6 in. (63.6 in.),14 ft. 7.2 in. (175.2 in.),,,,, 119.8 cu.ft., 3109 lbs.,,, 18.0 degrees, 27.7 degrees, 51.9 cu.ft.,,,, 2.0 L, Double overhead cam (DOHC), Flat 4,16, Variable, 145 ft-lbs. @ 4200 rpm, 148 hp @ 6200 rpm, 34.8 ft., Gas, Regular unleaded, 15.9 gal., 365.7/492.9 mi., 23/31 mpg, All wheel drive, 5-speed manual
1011,,,,,, 8 yr./ 125000 mi.,, 38.8 in., 55.0 in., 42.7 in., 57.7 in., 54.7 in., 35.3 in., 35.4 in., 55.0 in.,6 ft. 5.3 in. (77.3 in.),4 ft. 8.5 in. (56.5 in.),16 ft. 4 in. (196 in.),,,,, 120.0 cu.ft., 4647 lbs., 31.6 cu.ft.,,,,,,,,,,,,,,,, Electric,,,,, Rear wheel drive, 1-speed direct drive
1012,,,,,, 8 yr./ 125000 mi.,, 38.8 in., 55.0 in., 42.7 in., 57.7 in., 54.7 in., 35.3 in., 35.4 in., 55.0 in.,6 ft. 5.3 in. (77.3 in.),4 ft. 8.5 in. (56.5 in.),16 ft. 4 in. (196 in.),,,,, 120.0 cu.ft., 4647 lbs., 31.6 cu.ft.,,,,,,,,,,,,,,,, Electric,,,,, Rear wheel drive, 1-speed direct drive
1013, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 39.3 in., 56.5 in., 41.7 in., 57.8 in., 55.7 in., 38.6 in., 32.9 in., 57.8 in.,6 ft. 3.8 in. (75.8 in.),5 ft. 11.5 in. (71.5 in.),15 ft. 10.2 in. (190.2 in.),,,,,,,, 4700 lbs.,,,,,,, 4.0 L, Double overhead cam (DOHC), V6,24, Variable, 278 ft-lbs. @ 4400 rpm, 270 hp @ 5600 rpm, 37.4 ft., Gas, Regular unleaded, 23.0 gal., 391.0/506.0 mi., 17/22 mpg, Rear wheel drive, 5-speed shiftable automatic
1014, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 39.3 in., 56.5 in., 41.7 in., 57.8 in., 55.7 in., 38.6 in., 32.9 in., 57.8 in.,6 ft. 3.8 in. (75.8 in.),5 ft. 11.5 in. (71.5 in.),15 ft. 10.2 in. (190.2 in.),,,,,,,, 5000 lbs.,,,,,,, 4.0 L, Double overhead cam (DOHC), V6,24, Variable, 278 ft-lbs. @ 4400 rpm, 270 hp @ 5600 rpm, 37.4 ft., Gas, Regular unleaded, 23.0 gal., 391.0/506.0 mi., 17/22 mpg, Rear wheel drive, 5-speed shiftable automatic
1015, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 37.6 in., 55.1 in., 42.1 in., 58.2 in., 54.6 in., 37.9 in., 39.2 in., 57.0 in.,6 ft. 0.2 in. (72.2 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 3.3 in. (195.3 in.),9 ft. 3 in. (111 in.),,,,,,, 1000 lbs.,,,,,,, 3.5 L, Double overhead cam (DOHC), V6,24, Variable, 248 ft-lbs. @ 4700 rpm, 268 hp @ 6200 rpm, 37.4 ft., Gas, Regular unleaded, 17.0 gal., 357.0/527.0 mi., 21/31 mpg, Front wheel drive, 6-speed shiftable automatic
1016, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 38.5 in., 55.1 in., 42.1 in., 58.2 in., 54.6 in., 37.9 in., 39.2 in., 57.0 in.,6 ft. 0.2 in. (72.2 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 3.3 in. (195.3 in.),9 ft. 3 in. (111 in.),,,,,,, 1000 lbs.,,,,,,, 3.5 L, Double overhead cam (DOHC), V6,24, Variable, 248 ft-lbs. @ 4700 rpm, 268 hp @ 6200 rpm, 40.0 ft., Gas, Regular unleaded, 17.0 gal., 357.0/527.0 mi., 21/31 mpg, Front wheel drive, 6-speed shiftable automatic
1017, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 37.6 in., 55.1 in., 42.1 in., 58.2 in., 54.6 in., 37.0 in., 39.2 in., 57.0 in.,6 ft. 0.2 in. (72.2 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 3.3 in. (195.3 in.),9 ft. 3 in. (111 in.),,,, 116.3 cu.ft., 3638 lbs., 14.0 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 17.0 gal., 680.0/663.0 mi., 40/39 mpg, Front wheel drive, Continuously variable-speed automatic
1018, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 37.6 in., 55.1 in., 42.1 in., 58.2 in., 54.6 in., 37.9 in., 39.2 in., 57.0 in.,6 ft. 0.2 in. (72.2 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 3.3 in. (195.3 in.),9 ft. 3 in. (111 in.),,,, 116.3 cu.ft., 3594 lbs., 14.0 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 17.0 gal., 680.0/663.0 mi., 40/39 mpg, Front wheel drive, Continuously variable-speed automatic
1019, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 38.8 in., 54.5 in., 41.6 in., 58.0 in., 54.5 in., 38.1 in., 38.9 in., 56.6 in.,5 ft. 11.7 in. (71.7 in.),4 ft. 9.9 in. (57.9 in.),15 ft. 10.9 in. (190.9 in.),9 ft. 1.3 in. (109.3 in.),,,, 118.1 cu.ft., 3240 lbs., 15.4 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 170 ft-lbs. @ 4100 rpm, 178 hp @ 6000 rpm, 36.7 ft., Gas, Regular unleaded, 17.0 gal., 425.0/595.0 mi., 25/35 mpg, Front wheel drive, 6-speed shiftable automatic
1020, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 38.8 in., 54.5 in., 41.6 in., 58.0 in., 54.5 in., 38.1 in., 38.9 in., 56.6 in.,5 ft. 11.7 in. (71.7 in.),4 ft. 9.9 in. (57.9 in.),15 ft. 10.9 in. (190.9 in.),9 ft. 1.3 in. (109.3 in.),,,, 118.1 cu.ft., 3240 lbs., 15.4 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 170 ft-lbs. @ 4100 rpm, 178 hp @ 6000 rpm, 36.7 ft., Gas, Regular unleaded, 17.0 gal., 425.0/595.0 mi., 25/35 mpg, Front wheel drive, 6-speed shiftable automatic
1021, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 38.8 in., 54.5 in., 41.6 in., 58.0 in., 54.5 in., 38.1 in., 38.9 in., 56.6 in.,5 ft. 11.7 in. (71.7 in.),4 ft. 9.9 in. (57.9 in.),15 ft. 10.9 in. (190.9 in.),9 ft. 1.3 in. (109.3 in.),,,, 115.8 cu.ft., 3485 lbs., 13.1 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 17.0 gal., 731.0/663.0 mi., 43/39 mpg, Front wheel drive, Continuously variable-speed automatic
1022, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 38.8 in., 54.5 in., 41.6 in., 58.0 in., 54.5 in., 38.1 in., 38.9 in., 56.6 in.,5 ft. 11.7 in. (71.7 in.),4 ft. 9.9 in. (57.9 in.),15 ft. 10.9 in. (190.9 in.),9 ft. 1.3 in. (109.3 in.),,,, 115.8 cu.ft., 3485 lbs., 13.1 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 17.0 gal., 731.0/663.0 mi., 43/39 mpg, Front wheel drive, Continuously variable-speed automatic
1023, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 38.3 in., 53.0 in., 42.3 in., 54.8 in., 43.9 in., 37.1 in., 41.4 in., 54.8 in.,5 ft. 9.9 in. (69.9 in.),4 ft. 9.3 in. (57.3 in.),15 ft. 2.6 in. (182.6 in.),8 ft. 10.3 in. (106.3 in.),,,, 110.5 cu.ft., 2800 lbs., 13.0 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 128 ft-lbs. @ 4400 rpm, 132 hp @ 6000 rpm, 35.6 ft., Gas, Regular unleaded, 13.2 gal., 369.6/488.4 mi., 28/37 mpg, Front wheel drive, 6-speed manual
1024, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 38.3 in., 53.0 in., 42.3 in., 54.8 in., 43.9 in., 37.1 in., 41.4 in., 54.8 in.,5 ft. 9.9 in. (69.9 in.),4 ft. 9.3 in. (57.3 in.),15 ft. 2.6 in. (182.6 in.),8 ft. 10.3 in. (106.3 in.),,,, 110.5 cu.ft., 2800 lbs., 13.0 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 128 ft-lbs. @ 4400 rpm, 132 hp @ 6000 rpm, 35.6 ft., Gas, Regular unleaded, 13.2 gal., 369.6/488.4 mi., 28/37 mpg, Front wheel drive, 6-speed manual
1025, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 41.3 in., 55.4 in., 41.9 in., 58.4 in., 51.0 in., 40.3 in., 31.3 in., 53.9 in.,6 ft. 3 in. (75 in.),5 ft. 11.3 in. (71.3 in.),15 ft. 3.9 in. (183.9 in.),,,,,,,, 4700 lbs.,,,,,,, 4.0 L, Double overhead cam (DOHC), V6,24, Variable, 271 ft-lbs. @ 4400 rpm, 260 hp @ 5600 rpm, 40.7 ft., Gas, Regular unleaded, 19.0 gal., 304.0/380.0 mi., 16/20 mpg, Rear wheel drive, 5-speed automatic
1026, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 40.7 in., 57.2 in., 44.2 in., 59.3 in., 57.1 in., 39.9 in., 38.4 in., 59.6 in.,6 ft. 3.8 in. (75.8 in.),5 ft. 8.1 in. (68.1 in.),15 ft. 11.1 in. (191.1 in.),9 ft. 1.8 in. (109.8 in.),,,,,,, 1500 lbs.,,,,,,, 2.7 L, Double overhead cam (DOHC), Inline 4,16, Variable, 184 ft-lbs. @ 4200 rpm, 185 hp @ 5800 rpm, 38.7 ft., Gas, Regular unleaded, 19.2 gal., 384.0/480.0 mi., 20/25 mpg, Front wheel drive, 6-speed shiftable automatic
1027, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 40.7 in., 57.2 in., 44.2 in., 59.3 in., 57.1 in., 39.9 in., 38.4 in., 59.6 in.,6 ft. 3.8 in. (75.8 in.),5 ft. 8.1 in. (68.1 in.),15 ft. 11.1 in. (191.1 in.),9 ft. 1.8 in. (109.8 in.),,,,,,, 1500 lbs.,,,,,,, 2.7 L, Double overhead cam (DOHC), Inline 4,16, Variable, 184 ft-lbs. @ 4200 rpm, 185 hp @ 5800 rpm, 38.7 ft., Gas, Regular unleaded, 19.2 gal., 384.0/480.0 mi., 20/25 mpg, Front wheel drive, 6-speed shiftable automatic
1028, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 39.5 in., 57.2 in., 44.2 in., 59.3 in., 57.1 in., 39.6 in., 38.4 in., 59.0 in.,6 ft. 3.8 in. (75.8 in.),5 ft. 8.1 in. (68.1 in.),15 ft. 11.1 in. (191.1 in.),9 ft. 1.8 in. (109.8 in.),,,,,,, 3500 lbs.,,,,,,, 3.5 L, Double overhead cam (DOHC), V6,24, Variable,,,, Hybrid, Regular unleaded, 17.2 gal., 464.4/481.6 mi., 27/28 mpg, All wheel drive, Continuously variable-speed automatic
1029, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 39.5 in., 57.2 in., 44.2 in., 59.3 in., 57.1 in., 39.6 in., 38.4 in., 59.0 in.,6 ft. 3.8 in. (75.8 in.),5 ft. 8.1 in. (68.1 in.),15 ft. 11.1 in. (191.1 in.),9 ft. 1.8 in. (109.8 in.),,,,,,, 3500 lbs.,,,,,,, 3.5 L, Double overhead cam (DOHC), V6,24, Variable,,,, Hybrid, Regular unleaded, 17.2 gal., 464.4/481.6 mi., 27/28 mpg, All wheel drive, Continuously variable-speed automatic
1030, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 38.3 in., 59.4 in., 42.9 in., 61.0 in., 58.6 in., 38.9 in., 34.4 in., 61.1 in.,6 ft. 5.6 in. (77.6 in.),6 ft. 2 in. (74 in.),16 ft. 2.9 in. (194.9 in.),,,,,,,, 8200 lbs.,,,,,,, 5.7 L, Double overhead cam (DOHC), V8,32, Variable, 401 ft-lbs. @ 3600 rpm, 381 hp @ 5600 rpm, 38.7 ft., Gas, Regular unleaded, 24.6 gal., 319.8/442.8 mi., 13/18 mpg, Four wheel drive, 6-speed shiftable automatic
1031, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 38.3 in., 59.4 in., 42.9 in., 61.0 in., 58.6 in., 38.9 in., 34.4 in., 61.1 in.,6 ft. 5.9 in. (77.9 in.),6 ft. 2 in. (74 in.),16 ft. 2.9 in. (194.9 in.),,,,,,,, 8100 lbs.,,,,,,, 5.7 L, Double overhead cam (DOHC), V8,32, Variable, 401 ft-lbs. @ 3600 rpm, 381 hp @ 5600 rpm, 38.7 ft., Gas, Regular unleaded, 24.6 gal., 319.8/442.8 mi., 13/18 mpg, Four wheel drive, 8-speed shiftable automatic
1032, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi.,,,,,,,,,5 ft. 11.5 in. (71.5 in.),5 ft. 0.4 in. (60.4 in.),16 ft. 0.5 in. (192.5 in.),9 ft. 1.4 in. (109.4 in.),,,,,,,,,,,,,,,,,,,,,, Hybrid, Hydrogen,,,, Front wheel drive, 1-speed direct drive
1033, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 38.6 in., 52.7 in., 42.5 in., 54.9 in., 51.2 in., 37.6 in., 36.0 in., 53.1 in.,5 ft. 8.7 in. (68.7 in.),4 ft. 10.7 in. (58.7 in.),14 ft. 8.4 in. (176.4 in.),,,,, 115.3 cu.ft., 3042 lbs., 21.6 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 11.9 gal., 606.9/571.2 mi., 51/48 mpg, Front wheel drive, Continuously variable-speed automatic
1034, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 39.4 in., 53.4 in., 43.2 in., 55.0 in., 51.9 in., 37.4 in., 33.4 in., 53.0 in.,5 ft. 9.3 in. (69.3 in.),4 ft. 10.1 in. (58.1 in.),14 ft. 10.7 in. (178.7 in.),8 ft. 10.3 in. (106.3 in.),,,, 117.7 cu.ft., 3075 lbs., 24.6 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 11.3 gal., 610.2/565.0 mi., 54/50 mpg, Front wheel drive, Continuously variable-speed automatic
1035, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 38.6 in., 51.0 in., 41.7 in., 52.3 in., 50.8 in., 37.0 in., 35.0 in., 51.7 in.,5 ft. 6.7 in. (66.7 in.),4 ft. 8.9 in. (56.9 in.),13 ft. 1.3 in. (157.3 in.),,,,, 104.5 cu.ft., 2500 lbs., 17.1 cu.ft.,,,,,,,, 1.5 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 9.5 gal., 503.5/437.0 mi., 53/46 mpg, Front wheel drive, Continuously variable-speed automatic
1036, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 38.6 in., 51.0 in., 41.7 in., 52.3 in., 50.8 in., 37.0 in., 35.0 in., 51.7 in.,5 ft. 6.7 in. (66.7 in.),4 ft. 9.3 in. (57.3 in.),13 ft. 1.3 in. (157.3 in.),,,,, 104.5 cu.ft., 2496 lbs., 17.1 cu.ft.,,,,,,,, 1.5 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 9.5 gal., 503.5/437.0 mi., 53/46 mpg, Front wheel drive, Continuously variable-speed automatic
1037, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 38.6 in., 52.7 in., 42.5 in., 54.9 in., 51.2 in., 37.6 in., 36.0 in., 53.1 in.,5 ft. 8.7 in. (68.7 in.),4 ft. 10.7 in. (58.7 in.),14 ft. 8.4 in. (176.4 in.),8 ft. 10.3 in. (106.3 in.),,,, 115.3 cu.ft., 3194 lbs., 21.6 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 105 ft-lbs. @ 4000 rpm, 134 hp @ 5200 rpm, 34.2 ft., Hybrid, Regular unleaded, 10.6 gal., N/A,, Front wheel drive, Continuously variable-speed automatic
1038, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 39.6 in., 53.5 in., 41.3 in., 55.9 in., 53.5 in., 38.6 in., 35.9 in., 55.2 in.,5 ft. 9.9 in. (69.9 in.),5 ft. 2 in. (62 in.),15 ft. 2.3 in. (182.3 in.),,,,, 131.5 cu.ft., 3340 lbs., 34.3 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 11.9 gal., 523.6/476.0 mi., 44/40 mpg, Front wheel drive, Continuously variable-speed automatic
1039, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 39.6 in., 53.5 in., 41.3 in., 55.9 in., 53.5 in., 38.6 in., 35.9 in., 55.2 in.,5 ft. 9.9 in. (69.9 in.),5 ft. 2 in. (62 in.),15 ft. 2.3 in. (182.3 in.),,,,, 131.5 cu.ft., 3340 lbs., 34.3 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 11.9 gal., 523.6/476.0 mi., 44/40 mpg, Front wheel drive, Continuously variable-speed automatic
1040, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 25000 mi.,,, 39.8 in., 54.3 in., 42.6 in., 57.3 in., 48.9 in., 38.9 in., 37.2 in., 55.4 in.,6 ft. 0.6 in. (72.6 in.),5 ft. 5.4 in. (65.4 in.),14 ft. 11.9 in. (179.9 in.),8 ft. 8.7 in. (104.7 in.),,,,,,, 1500 lbs.,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 172 ft-lbs. @ 4100 rpm, 176 hp @ 6000 rpm, 34.8 ft., Gas, Regular unleaded, 15.9 gal., 381.6/492.9 mi., 24/31 mpg, Front wheel drive, 6-speed shiftable automatic
